#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
chebi:"CHEBI:231123"	uniprotkb:P13612	-	-	chembl:CHEMBL83856|unknown:"InChI=1S/C26H29Cl2N3O5/c1-16(32)29-14-13-26(11-2-3-12-26)25(36)31-21(24(34)35)15-17-7-9-18(10-8-17)30-23(33)22-19(27)5-4-6-20(22)28/h4-10,21H,2-3,11-15H2,1H3,(H,29,32)(H,30,33)(H,31,36)(H,34,35)/t21-/m0/s1"|unknown:UDEOSPCGCDINCC-NRFANRHFSA-N|unknown:"CC(=O)NCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl83856	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231858"	uniprotkb:P13612	-	-	chembl:CHEMBL82928|unknown:"InChI=1S/C26H30Cl2N2O6S/c1-37(35,36)15-5-14-26(12-2-3-13-26)25(34)30-21(24(32)33)16-17-8-10-18(11-9-17)29-23(31)22-19(27)6-4-7-20(22)28/h4,6-11,21H,2-3,5,12-16H2,1H3,(H,29,31)(H,30,34)(H,32,33)/t21-/m0/s1"|unknown:IFKGAQNQXXYYPB-NRFANRHFSA-N|unknown:"CS(=O)(=O)CCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl82928	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL816989|chembl:CHEMBL878745	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:232395"	uniprotkb:P13612	-	-	chembl:CHEMBL310825|unknown:"InChI=1S/C25H28Cl2N2O4S/c1-34-14-13-25(11-2-3-12-25)24(33)29-20(23(31)32)15-16-7-9-17(10-8-16)28-22(30)21-18(26)5-4-6-19(21)27/h4-10,20H,2-3,11-15H2,1H3,(H,28,30)(H,29,33)(H,31,32)/t20-/m0/s1"|unknown:LWCMKXYMIBQWPV-FQEVSTJZSA-N|unknown:"CSCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl310825	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL816989|chembl:CHEMBL878745	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:232462"	uniprotkb:P13612	-	-	chembl:CHEMBL82938|unknown:"InChI=1S/C26H30Cl2N2O6S/c1-37(35,36)15-3-2-12-26(13-5-14-26)25(34)30-21(24(32)33)16-17-8-10-18(11-9-17)29-23(31)22-19(27)6-4-7-20(22)28/h4,6-11,21H,2-3,5,12-16H2,1H3,(H,29,31)(H,30,34)(H,32,33)/t21-/m0/s1"|unknown:XINCANZSFCTALF-NRFANRHFSA-N|unknown:"CS(=O)(=O)CCCCC1(CCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl82938	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL816989|chembl:CHEMBL878745	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:232128"	uniprotkb:P13612	-	-	chembl:CHEMBL81952|unknown:"InChI=1S/C25H28Cl2N2O5S/c1-35(34)14-13-25(11-2-3-12-25)24(33)29-20(23(31)32)15-16-7-9-17(10-8-16)28-22(30)21-18(26)5-4-6-19(21)27/h4-10,20H,2-3,11-15H2,1H3,(H,28,30)(H,29,33)(H,31,32)/t20-,35?/m0/s1"|unknown:ULYHJYGNJKWWDI-RVOXPHBASA-N|unknown:"C[S+]([O-])CCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl81952	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL816989|chembl:CHEMBL878745	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231877"	uniprotkb:P13612	-	-	chembl:CHEMBL84428|unknown:"InChI=1S/C31H32Cl2N4O5/c32-23-9-6-10-24(33)26(23)27(38)35-22-13-11-20(12-14-22)19-25(28(39)40)37-29(41)31(15-4-5-16-31)17-18-34-30(42)36-21-7-2-1-3-8-21/h1-3,6-14,25H,4-5,15-19H2,(H,35,38)(H,37,41)(H,39,40)(H2,34,36,42)/t25-/m0/s1"|unknown:JPUGRCWKTIJHRW-VWLOTQADSA-N|unknown:"OC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)NC(=O)C3(CCNC(=O)Nc4ccccc4)CCCC3"|unknown:chembl84428	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231145"	uniprotkb:P13612	-	-	chembl:CHEMBL315464|unknown:"InChI=1S/C26H30Cl2N4O4S/c1-29-25(37)30-14-13-26(11-2-3-12-26)24(36)32-20(23(34)35)15-16-7-9-17(10-8-16)31-22(33)21-18(27)5-4-6-19(21)28/h4-10,20H,2-3,11-15H2,1H3,(H,31,33)(H,32,36)(H,34,35)(H2,29,30,37)/t20-/m0/s1"|unknown:RYQVJWYRMJZFAD-FQEVSTJZSA-N|unknown:"CN=C(/S)NCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl315464	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231083"	uniprotkb:P13612	-	-	chembl:CHEMBL309320|unknown:"InChI=1S/C28H33Cl2N3O5/c1-18(34)31-16-5-4-15-28(13-2-3-14-28)27(38)33-23(26(36)37)17-19-9-11-20(12-10-19)32-25(35)24-21(29)7-6-8-22(24)30/h6-12,23H,2-5,13-17H2,1H3,(H,31,34)(H,32,35)(H,33,38)(H,36,37)/t23-/m0/s1"|unknown:KKTZPWKMGKGWTK-QHCPKHFHSA-N|unknown:"CC(=O)NCCCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl309320	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:232419"	uniprotkb:P13612	-	-	chembl:CHEMBL313242|unknown:"InChI=1S/C25H28Cl2N2O5/c1-34-14-13-25(11-2-3-12-25)24(33)29-20(23(31)32)15-16-7-9-17(10-8-16)28-22(30)21-18(26)5-4-6-19(21)27/h4-10,20H,2-3,11-15H2,1H3,(H,28,30)(H,29,33)(H,31,32)/t20-/m0/s1"|unknown:WUAFZBANWSFBSP-FQEVSTJZSA-N|unknown:"COCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl313242	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231639"	uniprotkb:P13612	-	-	chembl:CHEMBL310788|unknown:"InChI=1S/C24H27Cl2N3O4/c25-17-4-3-5-18(26)20(17)21(30)28-16-8-6-15(7-9-16)14-19(22(31)32)29-23(33)24(12-13-27)10-1-2-11-24/h3-9,19H,1-2,10-14,27H2,(H,28,30)(H,29,33)(H,31,32)/t19-/m0/s1"|unknown:BLIMBMNFPVTNFS-IBGZPJMESA-N|unknown:"NCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl310788	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231116"	uniprotkb:P13612	-	-	chembl:CHEMBL81814|unknown:"InChI=1S/C24H25Cl2N5O4/c25-17-4-3-5-18(26)20(17)21(32)29-16-8-6-15(7-9-16)14-19(22(33)34)30-23(35)24(10-1-2-11-24)12-13-28-31-27/h3-9,19H,1-2,10-14H2,(H,29,32)(H,30,35)(H,33,34)/t19-/m0/s1"|unknown:UNIRCVHVCFGDGZ-IBGZPJMESA-N|unknown:"OC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)NC(=O)C3(CCN=[N+]=[N-])CCCC3"|unknown:chembl81814	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231609"	uniprotkb:P13612	-	-	chembl:CHEMBL82984|unknown:"InChI=1S/C26H29Cl2N5O4/c27-19-6-5-7-20(28)22(19)23(34)31-18-10-8-17(9-11-18)16-21(24(35)36)32-25(37)26(12-1-2-13-26)14-3-4-15-30-33-29/h5-11,21H,1-4,12-16H2,(H,31,34)(H,32,37)(H,35,36)/t21-/m0/s1"|unknown:PELWOKGDTKYFGM-NRFANRHFSA-N|unknown:"OC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)NC(=O)C3(CCCCN=[N+]=[N-])CCCC3"|unknown:chembl82984	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:232020"	uniprotkb:P13612	-	-	chembl:CHEMBL311698|unknown:"InChI=1S/C31H30Cl2N6O4/c1-39-27(36-37-38-39)21-7-4-6-20(16-21)18-31(14-2-3-15-31)30(43)35-25(29(41)42)17-19-10-12-22(13-11-19)34-28(40)26-23(32)8-5-9-24(26)33/h4-13,16,25H,2-3,14-15,17-18H2,1H3,(H,34,40)(H,35,43)(H,41,42)/t25-/m0/s1"|unknown:PYGLVDAJIZZAIX-VWLOTQADSA-N|unknown:"Cn1nnnc1c2cccc(CC3(CCCC3)C(=O)N[C@@H](Cc4ccc(NC(=O)c5c(Cl)cccc5Cl)cc4)C(=O)O)c2"|unknown:chembl311698	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231619"	uniprotkb:P13612	-	-	chembl:CHEMBL79694|unknown:"InChI=1S/C27H32Cl2N4O5/c1-30-26(38)33(2)15-14-27(12-3-4-13-27)25(37)32-21(24(35)36)16-17-8-10-18(11-9-17)31-23(34)22-19(28)6-5-7-20(22)29/h5-11,21H,3-4,12-16H2,1-2H3,(H,30,38)(H,31,34)(H,32,37)(H,35,36)/t21-/m0/s1"|unknown:RJGXUVWHSRSSMR-NRFANRHFSA-N|unknown:"CNC(=O)N(C)CCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl79694	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231537"	uniprotkb:P13612	-	-	chembl:CHEMBL311915|unknown:"InChI=1S/C32H32Cl2N6O4/c1-40-28(37-38-39-40)22-12-8-21(9-13-22)19-32(16-3-2-4-17-32)31(44)36-26(30(42)43)18-20-10-14-23(15-11-20)35-29(41)27-24(33)6-5-7-25(27)34/h5-15,26H,2-4,16-19H2,1H3,(H,35,41)(H,36,44)(H,42,43)/t26-/m0/s1"|unknown:YMJIVIYXAAGIPH-SANMLTNESA-N|unknown:"Cn1nnnc1c2ccc(CC3(CCCCC3)C(=O)N[C@@H](Cc4ccc(NC(=O)c5c(Cl)cccc5Cl)cc4)C(=O)O)cc2"|unknown:chembl311915	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231151"	uniprotkb:P13612	-	-	chembl:CHEMBL79343|unknown:"InChI=1S/C26H30Cl2N2O4/c1-2-3-13-26(14-4-5-15-26)25(34)30-21(24(32)33)16-17-9-11-18(12-10-17)29-23(31)22-19(27)7-6-8-20(22)28/h6-12,21H,2-5,13-16H2,1H3,(H,29,31)(H,30,34)(H,32,33)/t21-/m0/s1"|unknown:PEOAGKNIJXKSNC-NRFANRHFSA-N|unknown:"CCCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl79343	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231536"	uniprotkb:P13612	-	-	chembl:CHEMBL310965|unknown:"InChI=1S/C30H28Cl2N6O4/c1-38-26(35-36-37-38)20-10-6-19(7-11-20)17-30(14-3-15-30)29(42)34-24(28(40)41)16-18-8-12-21(13-9-18)33-27(39)25-22(31)4-2-5-23(25)32/h2,4-13,24H,3,14-17H2,1H3,(H,33,39)(H,34,42)(H,40,41)/t24-/m0/s1"|unknown:BESXQTSZSXTMFO-DEOSSOPVSA-N|unknown:"Cn1nnnc1c2ccc(CC3(CCC3)C(=O)N[C@@H](Cc4ccc(NC(=O)c5c(Cl)cccc5Cl)cc4)C(=O)O)cc2"|unknown:chembl310965	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231633"	uniprotkb:P13612	-	-	chembl:CHEMBL83031|unknown:"InChI=1S/C26H30Cl2N2O5/c27-19-6-5-7-20(28)22(19)23(32)29-18-10-8-17(9-11-18)16-21(24(33)34)30-25(35)26(12-1-2-13-26)14-3-4-15-31/h5-11,21,31H,1-4,12-16H2,(H,29,32)(H,30,35)(H,33,34)/t21-/m0/s1"|unknown:DWDDWGYZNYHOGW-NRFANRHFSA-N|unknown:"OCCCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl83031	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231792"	uniprotkb:P13612	-	-	chembl:CHEMBL82987|unknown:"InChI=1S/C24H23Cl2N3O4/c25-17-4-3-5-18(26)20(17)21(30)28-16-8-6-15(7-9-16)14-19(22(31)32)29-23(33)24(12-13-27)10-1-2-11-24/h3-9,19H,1-2,10-12,14H2,(H,28,30)(H,29,33)(H,31,32)/t19-/m0/s1"|unknown:GGJAJVJXAYVYIL-IBGZPJMESA-N|unknown:"OC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)NC(=O)C3(CC#N)CCCC3"|unknown:chembl82987	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:232448"	uniprotkb:P13612	-	-	chembl:CHEMBL312856|unknown:"InChI=1S/C27H32Cl2N2O5/c1-36-16-5-4-15-27(13-2-3-14-27)26(35)31-22(25(33)34)17-18-9-11-19(12-10-18)30-24(32)23-20(28)7-6-8-21(23)29/h6-12,22H,2-5,13-17H2,1H3,(H,30,32)(H,31,35)(H,33,34)/t22-/m0/s1"|unknown:ZWYAVCQGXAHVLZ-QFIPXVFZSA-N|unknown:"COCCCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl312856	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:232190"	uniprotkb:P13612	-	-	chembl:CHEMBL82281|unknown:"InChI=1S/C32H30Cl2F3N3O5/c33-23-7-4-8-24(34)26(23)28(42)39-22-11-9-19(10-12-22)17-25(29(43)44)40-30(45)31(13-1-2-14-31)15-16-38-27(41)20-5-3-6-21(18-20)32(35,36)37/h3-12,18,25H,1-2,13-17H2,(H,38,41)(H,39,42)(H,40,45)(H,43,44)/t25-/m0/s1"|unknown:UAAQPZKRUGTUFH-VWLOTQADSA-N|unknown:"OC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)NC(=O)C3(CCNC(=O)c4cccc(c4)C(F)(F)F)CCCC3"|unknown:chembl82281	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231652"	uniprotkb:P13612	-	-	chembl:CHEMBL315062|unknown:"InChI=1S/C25H29Cl2N3O6S/c1-37(35,36)28-14-13-25(11-2-3-12-25)24(34)30-20(23(32)33)15-16-7-9-17(10-8-16)29-22(31)21-18(26)5-4-6-19(21)27/h4-10,20,28H,2-3,11-15H2,1H3,(H,29,31)(H,30,34)(H,32,33)/t20-/m0/s1"|unknown:BNMACLPLFKEEMT-FQEVSTJZSA-N|unknown:"CS(=O)(=O)NCCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl315062	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
